School,Year,Dating Violence,Domestic Violence,Fondling,Incest,Rape,Stalking,Statutory Rape,Religious,Enrollment,Potential Rape Total,Potential Fondling Total,Rape Per 10k,Fondling Per 10k,Stalking Per 10k,Dating Violence Per 10k,Domestic Violence Per 10k,Potential Rape Per 10k,Potential Fondling Per 10k
ISU,2021,5,2,7,0,22,32,0,False,30708,110,18.0,7.164256871173635,2.2795362771916112,10.420737267161652,1.628240197994008,0.6512960791976032,35.82128435586818,5.8616647127784285
ISU,2022,6,6,6,0,18,21,0,False,29969,90,15.0,6.006206413293737,2.0020688044312456,7.007240815509359,2.0020688044312456,2.0020688044312456,30.031032066468686,5.005172011078114
KSU,2020,0,5,1,0,5,6,0,False,20854,25,3.0,2.397621559413062,0.47952431188261246,2.877145871295675,0.0,2.397621559413062,11.988107797065311,1.4385729356478374
KSU,2021,12,3,18,0,14,18,0,False,20229,70,45.0,6.920757328587672,8.898116565327006,8.898116565327006,5.932077710218003,1.4830194275545008,34.60378664293836,22.245291413317513
KSU,2022,5,7,6,0,26,8,0,False,19722,130,15.0,13.183247135178988,3.04228780042592,4.056383733901227,2.535239833688267,3.5493357671635737,65.91623567589494,7.605719501064801
KU,2020,0,0,0,0,0,0,0,False,27619,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KU,2021,0,0,0,0,0,0,0,False,27685,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KU,2022,0,0,1,0,0,1,0,False,27638,0,3.0,0.0,0.36182068167016423,0.36182068167016423,0.0,0.0,0.0,1.0854620450104928
OSU,2020,4,8,6,0,4,9,0,False,24405,20,15.0,1.6390083999180496,2.458512599877074,3.687768899815612,1.6390083999180496,3.278016799836099,8.195041999590249,6.146281499692686
OSU,2021,2,6,4,0,15,12,0,False,24660,75,10.0,6.082725060827251,1.6220600162206003,4.866180048661801,0.8110300081103001,2.4330900243309004,30.413625304136254,4.0551500405515
OSU,2022,7,3,0,0,12,16,0,False,24692,60,0.0,4.859873643285275,0.0,6.479831524380366,2.83492629191641,1.2149684108213188,24.299368216426373,0.0
